,team_id,team_name
1075,270130,FURIA Esports
1076,270116,Astralis
1077,270114,The Mongolz
1078,270120,G2 Esports
1079,270118,GamerLegion
1080,270126,Ninjas in Pyjamas
1081,270128,paiN Gaming
1082,270122,FURIA Esports
1083,270124,BIG
1084,270112,G2 Esports
1085,270110,Aurora Gaming
1086,270104,Team Spirit
1087,270102,Natus Vincere
1088,270108,GamerLegion
1089,270100,Astralis
1090,270098,The Mongolz
1091,270106,Virtus.pro
1092,269686,paiN Gaming
1093,269678,Team Spirit
1094,269676,Natus Vincere
1095,269684,Virtus.pro
1096,269674,The Mongolz
1097,269682,G2 Esports
1098,269680,Astralis
1099,269672,Aurora Gaming
1100,270296,TYLOO
1101,270294,FlyQuest
1102,269704,TYLOO
1103,269712,JiJieHao
1104,269708,FlyQuest
1105,269716,Lynn Vision Gaming
1106,269706,Rare Atom
1107,269702,TYLOO
1108,269714,The Huns Esports
1109,269710,JiJieHao
1110,269700,FlyQuest
1111,269698,TYLOO
1112,269696,Lynn Vision Gaming
1113,269694,The Huns Esports
1114,269222,Team Vitality
1115,269218,Team Vitality
1116,269220,MOUZ
1117,269214,Team Spirit
1118,269216,MOUZ
1119,269230,Team Spirit
1120,269228,FlyQuest
1121,269226,MOUZ
1122,269224,paiN Gaming
1123,269212,FaZe Clan
1124,269206,Team Vitality
1125,269208,MOUZ
1126,269210,Team Spirit
1127,269054,Team Falcons
1128,269052,The Mongolz
1129,269050,MOUZ
1130,269048,The Mongolz
1131,269046,Team Falcons
1132,269044,Natus Vincere
1133,269042,Team Vitality
1134,269038,MOUZ
1135,269040,FaZe Clan
1136,269036,Team Liquid
